longitude,latitude,t,x1,x2,y
0,0,0,0.771320643266746,0.8950982415656692,10.656550427498184
1,0,0,0.0207519493594015,0.6337288687754038,5.692754130574122
2,0,0,0.6336482349262754,0.46276848503218115,7.634700551518039
3,0,0,0.7488038825386119,0.09078810453420316,7.755446092179287
4,0,0,0.4985070123025904,0.9821533348159726,9.351117532587748
5,0,0,0.22479664553084766,0.7516318919626817,6.575794511953925
6,0,0,0.19806286475962398,0.9263977611806433,8.960630677344934
7,0,0,0.7605307121989587,0.5772193772944185,8.751655633543564
8,0,0,0.16911083656253545,0.44456220698867976,5.740965178318161
9,0,0,0.08833981417401027,0.11843053646665092,6.73957558893648
10,0,0,0.6853598183677972,0.0033921197532106317,8.24391122701608
11,0,0,0.9533933461949365,0.42989727068529604,10.076156596363951
0,1,0,0.003948266327914451,0.4456215234976457,5.604676094262892
1,1,0,0.5121922633857766,0.2254006325494674,8.757427155956321
2,1,0,0.8126209616521135,0.3159194865379922,7.442982442857326
3,1,0,0.6125260668293881,0.2567577950321599,6.436764813156543
4,1,0,0.7217553174317995,0.25453560016003096,7.621119084315937
5,1,0,0.29187606817063316,0.9217263391735155,8.246570142954583
6,1,0,0.9177741225129434,0.7536616467376829,11.265332582367995
7,1,0,0.7145757833976906,0.3550119319368046,9.116584442760807
8,1,0,0.5425443680112613,0.4791015628030091,9.01574872766915
9,1,0,0.14217004760152696,0.9027305112832352,7.78688084027321
10,1,0,0.3733407600514692,0.7635586190387574,9.12063864385896
11,1,0,0.6741336150663453,0.18758825575304117,8.494077294603695
0,2,0,0.4418331744229961,0.33745807228644287,7.55865067704106
1,2,0,0.4340139933332937,0.05879809874439179,6.948629240453375
2,2,0,0.6177669784693172,0.308155154509658,8.38193775891603
3,2,0,0.5131382425543909,0.9202742441929943,6.898384784702201
4,2,0,0.6503971819314672,0.013257447476215045,8.792687464983963
5,2,0,0.6010389534045444,0.8890654379691071,12.566374642119616
6,2,0,0.8052231968327465,0.7176001614655811,11.194048850945057
7,2,0,0.5216471523936341,0.01464051085107454,6.77953513114637
8,2,0,0.9086488808086682,0.5074581155511994,10.296721289656976
9,2,0,0.3192360889885453,0.3589583756739083,8.522776242961367
10,2,0,0.09045934927090737,0.5924465031666161,7.86361869383584
11,2,0,0.30070005663620336,0.8304520863186885,8.54691745595125
0,3,0,0.11398436186354977,0.8666450539922596,8.568087963249095
1,3,0,0.8286813263076767,0.8798167624771163,10.712111523113384
2,3,0,0.04689631938924976,0.9327517933727981,7.664263563371568
3,3,0,0.6262871483113925,0.9160945158511284,10.00932288377676
4,3,0,0.5475861559192435,0.720679854209908,7.9872290059887465
5,3,0,0.8192869956700687,0.4115460130932026,8.708348685814943
6,3,0,0.1989475396788123,0.6439902035247437,7.664924375527335
7,3,0,0.8568503024577332,0.3847907864918074,9.906179730187128
8,3,0,0.3516526394320879,0.21755713257832066,7.318190945420137
9,3,0,0.7546476915298572,0.4180323642384345,10.576744693644063
10,3,0,0.2959617068796787,0.9233657341556504,10.286190538080206
11,3,0,0.8839364795611863,0.186211492320296,10.805770313813856
0,4,0,0.3255116378322488,0.013423647782471071,6.286006998703592
1,4,0,0.16501589771914849,0.2815469207268948,4.850908079788564
2,4,0,0.3925292439465873,0.8097198904724007,9.434859377788488
3,4,0,0.0934603745586503,0.7436556633719495,8.014590146314815
4,4,0,0.8211056578369285,0.8788995504900707,11.428903486275077
5,4,0,0.15115201964256386,0.7272380511145402,7.769680833968443
6,4,0,0.3841144486921996,0.6235327728636528,10.1435393226214
7,4,0,0.9442607122388011,0.8314398086169092,13.171161542995776
8,4,0,0.9876254749018722,0.6221289566879434,10.606480187041653
9,4,0,0.4563045470947841,0.8060396190739497,10.905628225694526
10,4,0,0.8261228438427398,0.3026844973337608,8.289727179380177
11,4,0,0.25137413420705934,0.8583123142333691,9.893865808778765
0,5,0,0.5973716482308843,0.16731151966900837,9.611983197535189
1,5,0,0.9028317603316274,0.33635588451063736,8.019734016295562
2,5,0,0.5345579488018151,0.25153161820736425,7.111010750752177
3,5,0,0.5902013629854229,0.8198965297579482,9.965491758355041
4,5,0,0.03928176722538734,0.19126813305801438,5.431617684196312
5,5,0,0.3571817586345363,0.13342028215153323,7.599702988884977
6,5,0,0.07961309015596418,0.3797980276515116,8.128897558543802
7,5,0,0.30545991834281827,0.4900123765802087,10.235379530729286
8,5,0,0.330719311982132,0.616117445213224,8.80027147163099
9,5,0,0.7738302962105958,0.1828317097820401,9.515023980457187
10,5,0,0.039959208689977266,0.5898986540355099,7.659093553190225
11,5,0,0.42949217843163834,0.3692672059112524,6.898614858903899
0,6,0,0.3149268718426883,0.6908363003317866,8.735626422038314
1,6,0,0.6364911430675446,0.9633087827572147,10.517082577296273
2,6,0,0.34634715008003303,0.163924010361174,7.508732820620969
3,6,0,0.04309735620499444,0.787286431532979,6.952923945811061
4,6,0,0.879915174517916,0.0062766626905627065,9.464216885001244
5,6,0,0.763240587143681,0.011035925966384141,9.584787330890912
6,6,0,0.8780966427248583,0.1510046354942679,10.996532370651854
7,6,0,0.41750914383926696,0.14695199875222964,9.089757984553849
8,6,0,0.6055775643937568,0.9807243048269062,11.479074634717918
9,6,0,0.5134666274082884,0.12424636914338416,9.15390063019431
10,6,0,0.5978366479629736,0.6790951821322875,8.325747255178902
11,6,0,0.2622156611319503,0.8923964585077467,10.616441906084122
0,7,0,0.30087130894070724,0.739767274915941,8.885630443709678
1,7,0,0.025399782050106068,0.010890909522523917,3.9758204940238064
2,7,0,0.30306256065103476,0.6574676777099638,8.972225046579439
3,7,0,0.24207587540352737,0.6136875926278141,7.925119228439577
4,7,0,0.5575781886626442,0.4347439135955087,9.292381770983747
5,7,0,0.5655070198881675,0.8487007059005109,10.232968239140408
6,7,0,0.47513224741505056,0.5333639316338004,9.12130041240085
7,7,0,0.2927979762895091,0.967014539220958,9.812381595915996
8,7,0,0.06425106069482445,0.40717927241375096,5.3435919839804225
9,7,0,0.9788191457576426,0.5224381236816471,11.899043420353506
10,7,0,0.33970784363786366,0.06735827556768936,8.87699200604363
11,7,0,0.4950486308824543,0.9123264304961389,9.496606886546235
0,8,0,0.9770807259226818,0.9182013378973746,11.376110441372695
1,8,0,0.4407738249006665,0.9388849921242717,9.315726473766517
2,8,0,0.3182728054789512,0.5490865080468417,8.510656299076324
3,8,0,0.5197969858753801,0.4681106050264714,8.705495085457123
